id,does_the_excerpt_contain_a_prediction,does_the_excerpt_contain_a_prediction:confidence,sentence
937053730,no,0.6454,"In this case we could, possibly, have a contractionary effect of lost investor confidence – but the channel runs through the inflation fears of the central bank, which doesn’t seem to be at all what Rogoff or others are talking about: Furthermore, suppose that we start in a liquidity trap."
937052373,no,0.6506,"Now, the measurement issue: we’d like to keep track of this sort of inflation inertia, both on the upside and on the downside — because just as embedded inflation is hard to get rid of, so is embedded deflation (ask the Japanese)."
937054303,no,0.6645,How should we think about the bargaining that may or may not now take place between the new Greek government and the troika?
937057152,no,1,The question is what you think about this situation.
937052734,no,1,"You can see that in the figure above; here’s one of Mussa’s figures, which highlights it even better because it covers a shorter period of floating rates: You can, if you’re desperate, try to explain this away by saying that there was some fundamental structural change in the early 1970s, but at that point you’re deep into epicycle territory."
937053352,no,1,But none of this is right.
937052141,no,1,"The plan limits the rise in unemployment, but things are still pretty bad, with the rate peaking at something like 9 percent and coming down only slowly."
937052523,no,1,"Many economists might look at that situation and say, well, deflation is stable, not accelerating, so we must be at the natural rate of unemployment — move along, folks, nothing to see here."
937052832,no,1,"Ignoring the foreign component, or looking at the world as a whole, the overall level of debt makes no difference to aggregate net worth – one person’s liability is another person’s asset."
937052856,no,0.6616,"Suppose that he can borrow for a while, using the borrowed money to buy useful things like rail tunnels under the Hudson."
937053917,no,1,"Every suggestion of bad news gets highlighted — especially, of course, but not only by Fox, the WSJ, etc.."
937054869,no,1,"If expected returns at home and abroad must be equal, and interest rates are zero both at home and abroad, the current exchange rate must equal the expected future exchange rate, which as we’ve seen is tied down by the requirement that the interest rates consistent with full employment be equalized."
937052271,no,1,"The point is that finance is deeply interconnected, so that even a moderately large player can take down the system if it implodes."
937053088,no,1,"And even so, its reaction involves very little offset to the initial spending."
937056607,no,1,"On one side, they can’t admit the moderation of the Democrats, which is why you had the spectacle of demands that Obama change course and support his own policies."
937053449,no,1,"Rather, he’s the mouthpiece for a global college of central bankers, almost all of whom find themselves under intense pressure from their national governments to keep things ticking over while they try to repair the economy."
937056639,no,1,"But Lucas and his school couldn’t do that, because they had burned their bridges."
937056926,no,0.6545,Financial reform was similarly supposed to be hugely destructive.
937056620,no,1,"Paul Romer has been writing a series of posts on the problem he calls “mathiness”, in which economists write down fairly hard-to-understand mathematical models accompanied by verbal claims that don’t actually match what’s going on in the math."
937052378,no,1,Of course not — and standard core measures have been behaving a bit erratically lately.
937053078,no,1,Maybe there is some multiplier out there that we could measure well but that’s not what that paper does.
937057364,no,1,"No, it didn’t — protectionism was a result of the Depression, not its cause."
937056941,no,1,And Sanders isn’t coming clean on that — he’s promising Medicaid-like costs while also promising no rationing.
937056329,no,0.708,"So we’re all monsters, however nice we may seem in person."
937056267,no,1,In this post I consider only the first point.
937056464,no,0.6741,"He’s even put a ludicrous number on the goal — 4 percent growth, which nobody has any idea how to achieve."
937053549,no,1,"But I’ll bet he had no idea about the extent to which Friedman really, really wasn’t an Austrian."
937052694,no,1,"In scenario B, we have 4 percent German inflation and zero Spanish inflation, implying eurozone inflation of 3 percent."
937052685,no,0.6883,"So, imagine a eurozone that contains only two countries, Germany and Spain."
937053782,no,0.6616,"Exchange rates behave like asset prices, swinging wildly year to year; goods prices move much less, which means that the real exchange rate – the relative price of two currencies, deflated by the ratio of price levels in the two countries, fluctuates wildly too."
937053453,no,1,"Except that a couple of years back it was telling a completely different story about why we needed to raise rates; you see, the big danger was of imminent inflation: “Global inflation pressures are rising rapidly as commodity prices soar and as the global recovery runs into capacity constraints,” said the BIS, which acts as a central bank for the world’s central banks."
937052087,no,1,"Just to remind everyone, Harry and Louise were the center of the vile smear campaign the insurance lobby waged against health care reform in 1993 — and this time a Democratic candidate is doing the smearing for them."
937056428,no,1,But it’s all about the euro straitjacket.
937052683,no,1,Jean-Claude Trichet is sounding hawkish about inflation again — and this is very bad news for the European periphery.
937055611,no,1,I’d argue that it’s implausible to claim that TPP could add more than a fraction of one percent to the incomes of the nations involved; even the 0.5 percent suggested by Petri et al looks high to me.
937053886,no,1,"Unable to backtrack, they went even deeper, insisting despite all appearances that monetary policy had no real effects whatsoever, that it was all technological shocks."
937053556,no,0.6624,The thing which is needed to secure healthy conditions is the most speedy and complete adaptation possible of the structure of production to the proportion between the demand for consumers’ goods and the demand for producers’ goods as determined by voluntary saving and spending.
937054015,no,0.6549,"Because we once again have a significant sized domestic oil industry, falling prices now create losers as well as winners within the US."
937056622,no,1,You can guess where I stand on this.
937057146,no,1,Neil Irwin has a nice piece about high asset prices that actually ties into my Wicksell discussion from earlier today.
937057142,no,1,"The thing is, Tett is a smart observer who talks to a lot of people in finance; seeing her present a discredited theory as obviously true, without so much as mentioning the kind of analysis that has been worked all along, says bad things about the extent to which anyone who matters has learned anything."
937056813,no,1,"For those of us who worried a lot about Japan in the late 1990s and now find the whole advanced world facing similar problems, deja vu comes so often that we get deja vu about getting deja vu."
937056416,no,1,But the broader story here is that we’re increasingly seeing that the problems of the euro extend well beyond the troubles of southern European debtors.
937052258,no,0.6544,"From today’s Times: Besides, no country facing enormous budget deficits, rapid growth in the money supply and the prospect of a sustained currency devaluation as we are has ever experienced deflation."
937056168,no,0.6473,Which brings me to the future of the global savings glut.
937053930,no,1,"Meanwhile, a quick hit."
937052355,no,1,"First, let me clear up a couple of misconceptions."
937053527,no,1,"Also, the fascist octopus has sung its swan song."
937052296,no,1,(Fairly wonkish stuff after the jump).
937056301,no,1,The other view is that business investment is weak because the economy is weak.
937053234,no,0.6645,"These concrete proposals would, taken together, actually increase the deficit for the first decade and beyond."
937052149,no,1,This also makes it hard to evaluate the reasonableness of the assumed multipliers.
937056967,no,1,"Right now the wonk brigade has been weighing in on Bernie Sanders, and is in general not too impressed on either financial reform or health care."
937053459,no,1,"Elites, he argues, see economic distress as an opportunity to push through “reforms” — which basically means changes they want, which may or may not actually serve the interest of promoting economic growth — and oppose any policies that might mitigate crisis without the need for these changes: I conjecture that “austerians” are concerned that anti-recessionary macro policy will allow a country to “muddle through” a crisis without improving its institutions."
937053636,no,0.6544,"A further thought on this ongoing discussion with Konczal, Baker, and Rowe over whether economies tend to self-correct."
937054063,no,1,"But the distinction isn’t just one of academic classification: Central banks aren’t in the business of just giving money away; what they do is always some kind of asset swap, in which they buy assets or make loans which then become assets."
937053554,no,1,"This is really a case of who are you gonna believe, me or your lying eyes."
937056531,no,1,"Carmen looks at annual averages, and finds that in 2002 Argentine real GDP per capita was 8.2 percent lower than in 2001."
937052143,no,1,"OK, Christina Romer and Jared Bernstein have put out the official (?)"
937057318,no,1,Are the BIS’s methods unsound?
937053705,no,1,"Now, what I wanted to do was apply this to the rapid growth of trade that has taken place since around 1990, what Subramanian calls “hyperglobalization”."
937053949,no,1,"“This is just accounting,” declared John Cochrane."
937054304,no,1,(No bargaining if the troika basically says no concessions.)
937056779,no,1,The “low interest rates = price controls” meme is bang-your-head-on-the-table stupid — but it has been made by none other than John Taylor.
937056360,no,1,"In particular, he identifies three blind and/or stupid economists leading everyone astray: Janet Yellen, Larry Summers, and yours truly."
937052681,no,1,"The point is that making wages somewhat more flexible, as opposed to perfectly flexible, is not a good thing."
937057336,no,1,"And that was a good way to waste a bit of time, wasn’t it?"
937056825,no,1,I worded the above carefully.
937056279,no,0.6605,"Your decision to stay in school or go out and work will shape your lifetime career; your ability to afford medical treatment or food and rent at age 75 has a lot to do with decisions you made when that stage of life was decades ahead, and impossible to imagine."
937053159,no,1,That’s a big problem.
937052435,no,0.6823,You may say that markets will see short-run austerity as a signal of our willingness to make long-run sacrifices; but why?
937052650,no,1,"But as it was … Anyway, if you want to know what’s lurking behind what I say about our economic mess, now you know."
937056784,no,1,"“Government is always the problem, not the solution, except when it comes to monetary policy” just doesn’t cut it for modern conservatives."
937053378,no,1,"On this economy I impose 5 years of tightening at the rate of 1 percent of potential GDP each year, with a multiplier of 1.3 (which is about where recent estimates have been converging)."
937053367,no,0.6667,I’ve been in several conversations over the past few days with generally reasonable people who are still worried that markets might turn on U.S. bonds any day now.
937056396,no,1,What I would urge everyone to do is ask what happens if Greece is in fact pushed out of the euro.
937052727,no,0.6406,"The real exchange rate, which measures the relative price of US goods, would not change."
937053316,no,1,"This is no more “artificial” than conventional monetary policy – harder, yes, but it’s still about trying to get the market rate aligned with the “natural” rate consistent with full employment."
937053747,no,0.7051,"I’ve been writing about this issue a lot in various guises, and have yet to see any coherent explanation of how it’s supposed to work."
937052722,no,1,"I mentioned recently that the correlation between nominal and real exchange rates is one key piece of evidence that we live in a Keynes-Friedman world of sticky prices, not the classical, perfect flexibility world of real business cycle theorists."
937052987,no,0.6433,"A sustained commitment to consolidation, possibly including a speeding up of current plans and their delivery, is required from all governments to ensure that the time afforded by the exceptional measures is used to put public finances on a permanently sounder footing."
937054107,no,1,"Also, hitting yourself in the head with a baseball bat is a great idea, because it feels good when you stop."
937053438,no,1,"And in the final chase to Appomattox, once the Army of the Potomac finally realized that victory was at hand, Grant showed every bit as much vigor as at Vicksburg."
937053311,no,0.6413,"The Romney/liquidationist view only makes sense if you believe that the problem with our economy lies on the supply side – that workers lack the incentive to work, or are stuck with the wrong skills, or something."
937053110,no,1,"But some anti-Keynesians have tried to save their dignity, or something, by attacking supposed Keynesian propositions that nobody actually, you know, proposed."
937052187,no,0.6569,So how is it possible that distinguished professors believe otherwise?
937056976,no,1,"I argued for an Obamacare-like strategy on health care, with perhaps a very gradual transition to single-payer via the public option, in my book The Conscience of a Liberal; and most of the progressive health care experts I can think of adopted pretty much the same position."
937052993,no,1,"Meanwhile, I see that Wolfgang Munchau is appropriately horrified by what he hears about the plans for a rescue fund."
937052792,no,1,So: I basically think of asset prices in a Tobin-type stock equilibrium framework (pdf).
937055732,no,0.6769,"I stand by my claim, however."
937054721,no,1,"While people were very seriously intoning that it was simplistic and crude to think that those little models could be of any use in a changing world yada yada, macroeconomists were making remarkable, counterintuitive predictions — about inflation (or the lack thereof), about interest rates, about the effects of austerity — that came true and were, if you think about it, an intellectual triumph."
937055147,no,1,"Conservatives made a number of very specific predictions about what would happen when the ACA went into effect: health spending would soar, deficits would balloon, premiums would shoot up, more people would lose insurance than gain it."
937053032,no,1,"I was originally set off by the way some economists were propounding Say’s Law — the idea, refuted 75 years ago, that all income must be spent and hence that supply creates its own demand — as a profound insight, somehow missed by three generations of economists."
937055458,no,1,You need to guilt-trip yourself in the here and now.
937057040,no,1,Total final spending on domestically produced goods and services is Total domestic spending + Exports – Imports = GDP Now suppose we have a trade war.
937052211,no,1,"Brad DeLong is, rightly, horrified at the great Ricardian equivalence misunderstanding."
937055018,no,1,That’s supposed to be a bad thing?
937057279,no,1,"But even if it were true, this is credibility Japan wants to lose."
937055745,no,1,"Then we have the price of X on one axis, the price of Y on the other."
937054425,no,0.6561,"The point is that while issues of debt relief are in large part arguments about accounting fiction, the question of how large a primary surplus Greece runs is real and has powerful implications for the economic outlook."
937052723,no,1,"Now that I have a few moments, let me elaborate on that."
937057246,no,0.6648,I will say that this kind of gratuitous complexification is somewhat characteristic.
937052642,no,0.6725,For the slump that follows a deleveraging shock is simultaneously gratuitous and almost impossible to avoid.
937053953,no,1,"It’s crucial, I’d argue, to realize that what the people invoking Ricardo were saying was wrong even in terms of their own model."
937055182,no,0.6439,But there was a generally shared view that perfect flexibility of prices was a bridge too far.
937053147,no,1,So how big are the transfers?
937052099,no,0.6554,"And while they haven’t been as deep as the older type of recession, they’ve proved hard to end (not officially, but in terms of employment), precisely because housing — which is the main thing that responds to monetary policy — has to rise above normal levels rather than recover from an interest-imposed slump."
937056405,no,1,Think about it.
937056573,no,1,"After all, Ron Paul has been making the same prediction year after year — in fact, he’s been making this prediction at least since 1981!"
937053167,no,1,And in the US it wasn’t even treated as an interstate political issue.
937054018,no,1,"But fracking (which I really wish WordPress would stop correcting to “tracking”) means that some of the producers are very different; and among other things, they’re engaged in a lot of investment spending."
937057150,no,1,"Corporate bond rates are low; stock prices are high; all across the board, assets are up."
937053771,no,1,Here’s the result: I have my doubts about the apparent decline in recent months.
937056462,no,0.6851,But Jeb!
937057043,no,0.6798,"For the world as a whole, the cuts in exports and imports will by definition be equal, so as far as world demand is concerned, trade wars are a wash. OK, I’m sure some people will start shouting “Krugman says protectionism does no harm.” But no: protectionism in general should reduce efficiency, and hence the economy’s potential output."
937052881,no,1,So why is a fiscal response any better?
937053195,no,1,"Recent events have been one empirical debacle after another for that view of the world – on interest rates, on inflation, on the effects of fiscal contraction."
937057401,no,0.6681,"It’s probably bad politics to talk right now about what a trade war would do to, say, Bangladesh."
937053277,no,0.6562,And so it must die.
937056699,no,1,Cohan’s theory of interest rates is basically the old notion of loanable funds: the interest rate is determined by the supply of and demand for credit.
937056958,no,1,"The core of what went wrong in 2008 was the rise of shadow banking; too big to fail was at best marginal, and as Mike Konczal notes, pushing the big banks out of shadow banking, on its own, could make the problem worse by causing the risky stuff to “migrate elsewhere, often to places where there is less regulatory infrastructure.” On health care: leave on one side the virtual impossibility of achieving single-payer."
937053436,no,1,"But it’s pretty clear to me at least that the problem in Virginia was basically the Army of the Potomac, or more specifically many of its officers, who were spooked by Lee and repeatedly failed to carry through even when they had clear advantages."
937053831,no,1,"I once talked to a theorist (not RBC, micro) who said that his criterion for serious economics was stuff that you can’t explain to your mother."
937053282,no,1,"Lazear goes through the data, and finds overwhelming evidence of inadequate demand, little if any evidence of structural problems."
937054108,no,1,But surely we’re also seeing the ideological bias of many in the news media.
937052333,no,1,I think so.
937055599,no,1,"One particular misuse of the yay-free-trade sentiment is the persistent effort to make protectionism a cause of economic slumps, and trade liberalization a route to recovery."
937052937,no,1,"That’s because it’s a model of several interacting markets, and you can enter from multiple directions, any one of which is a valid starting point."
937052191,no,1,And that’s what seems to have happened to macroeconomics in much of the economics profession.
937052183,no,1,That’s actually the point of one of the ways multiplier analysis is often presented to freshmen.
937052533,no,0.7138,"Here’s what Obama actually said: Too much regulation or too much spending can stifle innovation, can hamper confidence and growth, and hurt business and families."
937056425,no,1,"The result was a very nasty slump, and a delayed recovery."
937053369,no,1,For the fact is that it’s much harder than most people seem to imagine to tell a Greece-type story about a country with its own currency and a floating exchange rate.
937052654,no,1,Yet the data say otherwise.
937053240,no,1,"Bear in mind that paper money has been in widespread use for a long, long time."
937052416,no,1,"These days, relatively few economists are willing to say straight out that they regard persistent high unemployment as a good thing."
937056269,no,1,"The answer, broadly speaking, is surely that government should do those things it does better than the private sector."
937053613,no,1,"In a way, I’m amazed by economists who find this sort of thing absurd on its face."
937054313,no,1,What would it mean to relax that target?
937055332,no,1,"OK, maybe skip the bowels part."
937054572,no,1,But do they really want to do that?
937053680,no,1,"In part, this notion comes from the fact that trade has grown faster than output since 1950."
937052410,no,1,That sounds about right.
937053790,no,1,Rudi asked what would happen if a central bank for some reason suddenly and permanently increased the money supply.
937052154,no,1,So this looks like an estimate from the Obama team itself saying — as best as I can figure it out — that the plan would close only around a third of the output gap over the next two years.
937056610,no,1,"It also means a determination to see various Republicans as Serious, Honest Conservatives — SHCs?"
937053725,no,0.6735,"This can be represented as a decline in capital inflows at any given interest rate, so that the currency depreciates."
937054102,no,1,Indeed.
937052309,no,1,"So someone has to be bridging the gap between the short-term assets the public wants to hold and the long-term debt the government wants to issue; call it a carry trade if you like, but it’s a normal and necessary thing."
937052702,no,1,"Just a brief note: one thing that keeps appearing in comments is the notion that because we had a bubble, in which some people were borrowing too much, the economic growth of 2000-2007 wasn’t “real” — that it was all a figment of our imagination."
937053401,no,1,This is true both when the zero lower bound applies and when it doesn’t.
937056515,no,1,"And just to be clear, I’m basically doing textbook macroeconomics here, nothing exotic."
937056860,no,0.6775,"Needless to say, a gold standard would have meant much tighter, not looser, monetary policy since 2008."
937053626,no,1,"This is an equilibrating system — I’m not sure if it’s exactly self-equilibrating, because part of the mechanism runs through the mind of the central bank."
937057307,no,1,"Throughout the annual report, balance-sheet problems are treated as if they were equivalent to the kind of real structural problems the bank used to claim were at the root of our troubles."
937054027,no,1,"It has, after all, run large current surpluses over time; overall, it’s a creditor, not a debtor nation."
937055879,no,1,But that’s their problem.
937056643,no,1,"Instead they went even further down the equilibrium rabbit hole, notably with real business cycle theory."
937053073,no,1,"It’s her first day on the job and somebody says, you’ve got to come up with a solution to this — in defense of this fiscal stimulus, which no one told her what it was going to be, and have it by Monday morning."
937054276,no,1,"It’s an uncertain world, but why do those in office come down on one side of that uncertainty, while those outside come down on the other?"
937054071,no,1,So not-George Bush is running.
937055547,no,0.6667,"Such estimates currently indicate that the dollar will be a moderate-sized drag on US recovery, but no more."
937057026,no,1,(Trade actually fell faster during the early stages of the 2008 Great Recession than it did after 1929.)
937053574,no,1,"Consider, in particular, the case of Japan’s quantitative easing in the early 2000s: Unlike the Fed, the Bank of Japan didn’t pay interest on reserves."
937056661,no,1,Exchange rate overshooting is an essential part of the story.
937052522,no,1,"Picture America in, oh, 2014: unemployment is still around 9 percent, prices are falling about 1 percent a year."
937056956,no,1,On finance: Sanders has made restoring Glass-Steagal and breaking up the big banks the be-all and end-all of his program.
937053025,no,1,"The point is that I know technocrats, and these people aren’t — they’re faith healers who are making stuff up to suit their prejudices."
937056809,no,0.6403,The implications are shocking: austerity looks like even more of a catastrophe than the conventional analysis indicates.
937054432,no,1,"After all, the great bulk of the debt is now officially held, the interest rate bears little relationship to market prices, and the interest payments come in part out of funds lent by the creditors."
937055869,no,1,And so it turned out.
937053166,no,1,"So this was equivalent to giving — not lending, not even taking an equity stake — Spain 25 percent of its GDP to bail out its banks."
937053495,no,1,"Judging by later academic reputations, they got quite a group!"
937052743,no,1,So let me try this one more time.
937056873,no,1,"You know what I’m talking about, of course — that feeling of glee mixed with fear as one watches the cynical race-baiting of the Republican establishment finally come home to roost, confirming that you were right to be shrill (and the centrists were naive), but with the slight admixture of panic because one of these guys might actually become president."
937057113,no,1,"Here’s a chart (from data here) showing the change in asset income of seniors from all sources (I couldn’t break out interest) from 2006 to 2010, as interest rates fell through the floor, averaged by quintile: It’s not as smooth as I expected, but it’s clear that the decline was much bigger among the better-off; to the extent that Fed policy was reducing returns, it was reducing inequality among seniors."
937055884,no,1,"Romer and Romer clearly have done an impressively systematic job of identifying financial distress in an objective way; but I wonder, very tentatively, if they’re looking at the wrong variable."
937056548,no,1,"In short, what Europe usually means by a “technocrat” is a Very Serious Person, someone distinguished by his faith in received orthodoxy no matter the evidence."
937056518,no,1,"Anyway, for the record (and for my own future reference) I thought it would be helpful to post what Milton Friedman and Irving Fisher had to say about the Greek disaster."
937055735,no,1,So let me talk about where Hicksian analysis comes from.
937056575,no,1,It’s hard to think of a doctrine that has been as thoroughly refuted by events as goldbug economics.
937054604,no,1,"Here’s the picture, with that piece of information added in: What we see is that Italy is somewhat out of line — but the real standout is Germany, which has had much too little wage growth."
937052553,no,1,"So, just for the record, here’s the little wonkish paper (pdf) I wrote back in 1998 — the one that alerted me to the danger of falling into a liquidity trap, so that I was intellectually prepared for the mess we’re in."
937056015,no,1,"Because they’re politically conservative, hot states tend to have low minimum wages and low taxes on rich people."
937056949,no,1,"Actually, on policy she has generally been pretty good (Iraq aside, but that was a special and awful time)."
937054874,no,0.68,"In that case the dollar rises sharply, effectively sharing the rise in US demand more or less evenly around the world."
937053666,no,1,"), more competitive U.S. manufacturing, and balanced trade."
937056990,no,0.6763,"But there’s something else, which I keep encountering, and which I’m sure I’m not the only one to notice: even among progressives, the two-decade-plus smear campaign against the Clintons has had its effect."
937053067,no,1,There’s no reason to expect any stimulation.
937056691,no,1,"Everywhere you looked, people who imagined themselves sophisticated and possessed of deep understanding were resurrecting 75-year-old fallacies and presenting them as deep insights."
937053931,no,1,"Matt O’Brien has a lot of fun with Paul Singer, a billionaire inflation truther who is sure that the books are cooked because of what he can see with his own eyes: … check out London, Manhattan, Aspen and East Hampton real estate prices, as well as high-end art prices, to see what the leading edge of hyperinflation could look like Hyperinflation in the Hamptons; hard to beat that for comedy, although Matt adds value with the Billionaires Price Index."
937056427,no,1,Debt is not a problem; borrowing costs are very low.
937056604,no,1,"Democrats constitute a normal political party, with some spread between its left and right wings, but in general espousing moderate positions."
937056361,no,1,"Well, it could be true; there’s plenty of stupidity in the world, and much of it imagines itself wise."
937054291,no,1,"Among the Cambridge mafia, and in general among policy-oriented, more or less Keynesian types, there’s a surprisingly sharp divide over near-term US monetary policy."
937053985,no,1,"When young I would have relatives asking whether I was “in” with the department head or the senior faculty in my department, whether I was cultivating relationships, whatever; I thought it was funny, because all that mattered was your reputation, which was national if not global."
937056783,no,0.6708,"But more important, at this point, is the fact that this position turns out to be politically unsustainable."
937052614,no,1,And is a modest VAT really so much more implausible than ending the mortgage interest deduction?
937053039,no,0.7105,"To make the same adjustment happen, every single contract in the country needs to be piecemeal renegotiated."
937053718,no,0.6788,"You would think, given how many warnings have been issued about this possibility, that someone would have written down a simple model of the mechanics, but I have yet to see anything of the sort."
937053720,no,0.6613,"David Romer calls this the IS-MP model, and it looks something like this at a given point of time: Here the MP curve represents the central bank’s response function for a given rate of inflation, with rates rising if output goes up a la Taylor."
937055760,no,1,"Even in normal times, this approach, Mickey Mouse as it looks, offers a big step up in sophistication from a lot of what you hear – including what you hear from economists who are all teched up but have no idea how to apply their equations to anything real."
937052562,no,1,"More important, when did he say it?"
937053681,no,1,"However, up through about 1970 that only represented a return to levels of trade relative to output that prevailed before World War I: On the other hand, one does see that business cycle fluctuations produce large fluctuations in trade, much bigger in percentage terms than the moves in GDP, which you might take — which Davies does take — as an indication that the “income elasticity” of trade, the percentage rise for every percent rise in GDP, is much bigger than one."
937057068,no,1,But the low natural rate is as solid a result as anything in real time can be.
937054072,no,1,"Why, exactly?"
937054737,no,1,Think about the history shown in the chart above.
937052638,no,1,"People who don’t use models end up relying on slogans that are much more simplistic than the models — debt bad, inflation bad, savings good, all of which are just wrong some of the time."
937054036,no,1,"Well, it turns out that Putin managed to get himself into a confrontation with the West over Ukraine just as the bottom dropped out of his country’s main export, so that a financing shock was added to the terms of trade shock."
937052731,no,0.6656,"Here are changes in the US-German nominal and real exchange rate (computed using consumer prices, and with Deutsche marks before 2000, euros thereafter) since 1951: Now, a classical economist could (and some did) try to explain away this observation by arguing that what’s going on here is that there are real shocks, and that monetary policy was used to stabilize each country’s price level."
937053860,no,0.7051,"We’re talking about trivial sums — I’m not sure if Treasury has already promised to hold the Fed financially harmless, but if not it could easily be arranged."
937053738,no,1,"I know that many people find this line of argument, in which a loss of investor confidence is if anything expansionary, deeply counterintuitive."
937056322,no,1,"The reality is that spending on “income security” — which includes virtually everything except Medicaid that you could construe as aid to people with low incomes — has basically been flat for decades, with a temporary (and appropriate) spurt due to unemployment benefits and food stamps during the Great Recession: If you don’t believe this, think about it: where are these big anti-poverty programs?"
937052490,no,1,In some posts I have expressed skepticism about how effective the Fed can be; in others I have called on the Fed to do more.
937053577,no,1,"Anyway, I do get kind of annoyed here."
937056884,no,1,"Instead, what we’ve gotten is a doubling down."
937052636,no,1,The answer I’d give is that models are an enormously important tool for clarifying your thought.
937056987,no,1,"For those who were joyful and uplifted on inauguration day 2009, the years that followed have been a vast letdown: American politics got even uglier, policy progress always fell short of dreams."
937053072,no,1,"This remark was followed, by the way, by a smear against Christy Romer: Christina Romer — here’s what I think happened."
937053804,no,1,This divergence of views led to a long rift between macroeconomics and much of mainstream international finance … There are more than a few of us in my generation of international economists who still bear the scars of not being able to publish sticky-price papers during the years of new neoclassical repression.
937052128,no,1,"Payroll tax cuts, which make up about half the Obama proposal, are pretty good, with a multiplier of 1.29; business tax cuts, which make up the rest, are much less effective."
937057243,no,1,"Sorry, but no winners here, just big losers."
937052916,no,1,"If you have a different model, fine; but if all you have to counter my model is a set of prejudices, you don’t have an argument."
937056797,no,1,"Was that because the US, with its weak unions and competitive labor markets, had more wage and price flexibility than other nations?"
937052707,no,1,"In other words, past growth wasn’t an illusion, or a fraud; but we need policies to sustain aggregate demand."
937052406,no,1,"It’s a “real” business cycle phenomenon, and the best thing to do is let the free market have its recession or depression for as long as the free market wants (and we had some doozys before Keynes, and often)."
937052549,no,1,"And this raises the specter what I think of as the price stability trap: suppose that it’s early 2012, the US unemployment rate is around 10 percent, and core inflation is running at 0.3 percent."
937053811,no,1,I’m not going to get into that fight.
937056261,no,1,"Brad DeLong has posted a draft statement on fiscal policy for the IMF conference on “rethinking macroeconomics” — and I’m shocked, in a good way."
937053897,no,1,But you don’t have to go back to 2010.
937053602,no,1,"But you go to economic debates with the profession you have, not the profession you want."
937054045,no,1,"Indeed, it’s where I started."
937053231,no,1,"There is, once again, no specification of how this is to be accomplished; bear in mind that this number includes defense, which is currently around 4 percent of GDP."
937055155,no,1,"Think about Heritage: It’s immensely wealthy, and could surely afford to hire a technically competent right-wing hack."
937056752,no,1,But why should we believe that conclusion?
937056703,no,1,"The Fed sets interest rates, whether it wants to or not — even a supposed hands-off policy has to involve choosing the level of the monetary base somehow, which means that it’s a monetary policy choice."
937056876,no,1,"But one downside of The Donald’s turn in the spotlight is that the policy positions of the tonsorially conventional candidates are going largely unscrutinized, which is bad."
937052078,no,1,I guess we’ll see.
937053232,no,1,Is this a plan?
937052240,no,1,It’s just different presentations of the same model.
937053188,no,1,"Time was when Keynesians were highly skeptical about the effectiveness of monetary policy under any circumstances; evidence, including but not only Friedman and Schwartz, persuaded the school otherwise."
937056748,no,1,"Yet when the BIS — which was, once again, dead wrong on inflation — does the same thing, it’s taken very seriously."
937052664,no,0.65,"I occasionally mention here that recognizing the reality of wage stickiness is a key part of demand-side economics, but I’ve also argued a number of times that cutting wages now would probably make the slump worse, not better."
937055184,no,1,"The result was that MIT macroeconomics was teched up — everyone learned how to write down and solve rational expectations models, everyone learned how to emulate Lucas disciples — but didn’t unlearn Keynesian insights."
937052388,no,0.6504,"Right now, China’s dollar holdings don’t give it any leverage over the United States."
937056856,no,1,The path from Friedman and Schwartz to goldbuggism took several decades.
937053485,no,1,"It can and should try to push unconventional policies, but it needs as much help as possible from fiscal policy too — not a situation in which austerity in the periphery is reinforced by austerity in the core, too."
937056022,no,1,What strikes me on reading accounts of how this played out are two things.
937057017,no,1,Total final spending on domestically produced goods and services is Total domestic spending + Exports – Imports = GDP Now suppose we have a trade war.
937056654,no,0.645,"China clearly has a weakening economy, whatever the official numbers may say, and would like to use monetary stimulus."
937053986,no,0.6405,"If you kept turning out clever papers and giving great seminars — I used to pride myself on turning out the best paper in the field each year (not a bit arrogant, not me) and giving the best seminars in the profession — you’d get a tenure offer somewhere good really soon, and your home school would almost surely match."
937055588,no,1,"Actually, I was glad to see Larry Summers weigh in on the same subject in yesterday’s FT. Reading that piece, you may wonder what just happened – did Larry come out for the deal or against it?"
937053118,no,1,"I’d say that this was attacking a straw man, but that would be an insult to straw men."
937056628,no,0.6535,"They took it as an observed fact that fluctuations in nominal demand were associated with fluctuations in real output, as opposed to merely affecting the price level, which shouldn’t happen if prices were flexible."
937053648,no,1,"It might do that, or fiscal policy might be forced into action, if the economy really were suffering from accelerating deflation; but instead all you see is low inflation, which might even lead some central bankers to declare that they were doing their job just fine."
937054300,no,1,"Well, even smart, flexible people can fall prey to incestuous amplification."
937052688,no,1,"So I can just add percentage changes, without having to worry about compounding.)"
937054169,no,1,And the divide seems to depend on one thing: whether the economist in question is currently in a policy position.
937054451,no,1,Keep your eyes on that ball.
937055736,no,1,"What many macroeconomists don’t realize, I believe, is that Hicks on Keynes actually grows directly from Hicks’s own work on microeconomics — not mainly macroeconomics — embodied in his book Value and Capital."
937056399,no,0.6747,"Right now the core euro countries believe that the rest of the euro area can handle it, which might be true."
937056537,no,1,"On a quarterly basis, GDP was rising by mid-2002, and the economy was growing rapidly by 2003."
937056995,no,1,"Even among those who don’t believe in the phony scandals, there is, as there was in 2008, a desire for someone new, who they imagine won’t bring out all that ugliness."
